
*
*hpt
Name, HPV Address, PrintType, divisor, multiplier, coherent, help
End Of List,0xff,unknown,0,0,No,Special Entry to denote the end of the list. Not strictly needed unless making a list shorter.,
Coherent State 1 Pulse Width microseconds,0x194,32bits,1,0,Complex Coherent Data,,
Coherent State 1 Frequency,0x170,32bits,1,0,Complex Coherent Data,In Hz.,
Coherent State 1 Frequency (kHz),0x180,16bits,1,1000,Complex Coherent Data,In kHz.,
Coherent State 1 Gamma Real,0x118,32bits,10000,0,Complex Coherent Data,,
Coherent State 1 Gamma Imaginary,0x11c,32bits,10000,0,Complex Coherent Data,,
Coherent State 1 Reverse,0x300,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 1 Reverse,0x870,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 1 Forward,0x304,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 1 Forward,0x880,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 1 Delivered,0x308,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 1 Delivered,0x890,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 1 Actual Setpoint,0x190,24bits,10,0,Complex Coherent Data,In deciWatts.,
Coherent State 1 Actual Setpoint,0x740,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 2 Pulse Width microseconds,0x195,32bits,1,0,Complex Coherent Data,,
Coherent State 2 Frequency,0x171,32bits,1,0,Complex Coherent Data,In Hz.,
Coherent State 2 Frequency (kHz),0x181,16bits,1,1000,Complex Coherent Data,In kHz.,
Coherent State 2 Gamma Real,0x119,32bits,10000,0,Complex Coherent Data,,
Coherent State 2 Gamma Imaginary,0x11d,32bits,10000,0,Complex Coherent Data,,
Coherent State 2 Reverse,0x301,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 2 Reverse,0x871,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 2 Forward,0x305,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 2 Forward,0x881,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 2 Delivered,0x309,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 2 Delivered,0x891,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 2 Actual Setpoint,0x191,24bits,10,0,Complex Coherent Data,In deciWatts.,
Coherent State 2 Actual Setpoint,0x741,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 3 Pulse Width microseconds,0x196,32bits,1,0,Complex Coherent Data,,
Coherent State 3 Frequency,0x172,32bits,1,0,Complex Coherent Data,In Hz.,
Coherent State 3 Frequency (kHz),0x182,16bits,1,1000,Complex Coherent Data,In kHz.,
Coherent State 3 Gamma Real,0x11a,32bits,10000,0,Complex Coherent Data,,
Coherent State 3 Gamma Imaginary,0x11e,32bits,10000,0,Complex Coherent Data,,
Coherent State 3 Reverse,0x302,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 3 Reverse,0x872,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 3 Forward,0x306,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 3 Forward,0x882,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 3 Delivered,0x30a,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 3 Delivered,0x892,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 3 Actual Setpoint,0x192,24bits,10,0,Complex Coherent Data,In deciWatts.,
Coherent State 3 Actual Setpoint,0x742,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 4 Pulse Width microseconds,0x197,32bits,1,0,Complex Coherent Data,,
Coherent State 4 Frequency,0x173,32bits,1,0,Complex Coherent Data,In Hz.,
Coherent State 4 Frequency (kHz),0x183,16bits,1,1000,Complex Coherent Data,In kHz.,
Coherent State 4 Gamma Real,0x11b,32bits,10000,0,Complex Coherent Data,,
Coherent State 4 Gamma Imaginary,0x11f,32bits,10000,0,Complex Coherent Data,,
Coherent State 4 Reverse,0x303,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 4 Reverse,0x873,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 4 Forward,0x307,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 4 Forward,0x883,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 4 Delivered,0x30b,16bits,0,0,Complex Coherent Data,In deciWatts.,
Coherent State 4 Delivered,0x893,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent State 4 Actual Setpoint,0x193,24bits,10,0,Complex Coherent Data,In deciWatts.,
Coherent State 4 Actual Setpoint,0x743,32bits,256,0,Complex Coherent Data,In deciWatts. (32 bits),
Coherent Actual Power Setpoint,0x97,24bits,10,0,Complex Coherent Data,Actual Power Setpoint (24 bits),
Coherent Actual Power Setpoint,0x705,32bits,256,0,Complex Coherent Data,Actual Power Setpoint (32 bits),
Coherent State 0 Power Setpoint,0x8f,24bits,10,0,Complex Coherent Data,Actual State 0 Power Setpoint (24 bits),
Coherent State 0 Power Setpoint,0x704,32bits,256,0,Complex Coherent Data,Actual State 0 Power Setpoint (32 bits),
Timestamp of the coherent data packet,0xfe,32bits,1,0,Complex Coherent Data,Coherent Time Stamp,
Status of the coherent data packet,0xfd,32bits,1,0,Complex Coherent Data,Coherent Status,
Frequency,0x1a,16bits,0,1000,No,Frequency (16 bits) kHz,
Frequency,0x93,32bits,0,0,No,Frequency (32 bits),
Drive Setpoint,0x20,16bits,0,0,No,Drive Setpoint (16 bits),
Forward Power,0x18,16bits,1,0,No,Forward Power (16 bits),
Forward Power,0x700,32bits,256,0,No,Forward Power (32 bits),
Reverse Power,0x19,16bits,1,0,No,Reverse Power (16 bits),
Reverse Power,0x701,32bits,256,0,No,Reverse Power (32 bits),
Power Setpoint,0x1e,16bits,1,0,No,Power Setpoint (16 bits),
Power Setpoint,0x703,32bits,256,0,No,Power Setpoint (32 bits),
Delivered Power,0x8b,32bits,1,0,No,Delivered Power (32 bits) (cW),
Delivered Power,0x702,32bits,256,0,No,Delivered Power (32 bits),
Gamma Mag,0x86,32bits,100,0,No,Gamma Mag (0-100),
Gamma Phase,0x87,32bits,100,0,No,Gamma Phase (Radians * 100),
Dissipated Power,0x1b,16bits,0,0,No,Dissipated Power,
PA Voltage,0x1c,16bits,0,0,No,PA Voltage,
PA Current,0x1d,16bits,10,0,No,PA Current,
PA Temperature,0x1f,16bits,10,0,No,PA Temperature,
PA01 Current,0xa0,32bits,100,0,No,Amps,
PA02 Current,0xa1,32bits,100,0,No,Amps,
PA03 Current,0xa2,32bits,100,0,No,Amps,
PA04 Current,0xa3,32bits,100,0,No,Amps,
PA05 Current,0xa4,32bits,100,0,No,Amps,
PA06 Current,0xa5,32bits,100,0,No,Amps,
PA07 Current,0xa6,32bits,100,0,No,Amps,
PA08 Current,0xa7,32bits,100,0,No,Amps,
PA09 Current,0xa8,32bits,100,0,No,Amps,
PA10 Current,0xa9,32bits,100,0,No,Amps,
PA11 Current,0xaa,32bits,100,0,No,Amps,
PA12 Current,0xab,32bits,100,0,No,Amps,
PA13 Current,0xac,32bits,100,0,No,Amps,
PA14 Current,0xad,32bits,100,0,No,Amps,
PA15 Current,0xae,32bits,100,0,No,Amps,
PA16 Current,0xaf,32bits,100,0,No,Amps,
PSU 1 Fan Amps,0xb0,32bits,100,0,No,Amps,
PSU 5 Fan Amps,0xb1,32bits,100,0,No,Amps,
PSU 5 Temp,0xb2,32bits,100,0,No,Degrees C,
PSU 1 Temp,0xb3,32bits,100,0,No,Degrees C,
PSU 2 Fan Amps,0xb4,32bits,100,0,No,Amps,
PSU 6 Fan Amps,0xb5,32bits,100,0,No,Amps,
PSU 6 Temp,0xb6,32bits,100,0,No,Degrees C,
PSU 2 Temp,0xb7,32bits,100,0,No,Degrees C,
PSU 3 Fan Amps,0xb8,32bits,100,0,No,Amps,
PSU 7 Fan Amps,0xb9,32bits,100,0,No,Amps,
PSU 7 Temp,0xba,32bits,100,0,No,Degrees C,
PSU 3 Temp,0xbb,32bits,100,0,No,Degrees C,
PSU 4 Fan Amps,0xbc,32bits,100,0,No,Amps,
PSU 8 Fan Amps,0xbd,32bits,100,0,No,Amps,
PSU 8 Temp,0xbe,32bits,100,0,No,Degrees C,
PSU 4 Temp,0xbf,32bits,100,0,No,Degrees C,
Fan Current,0xc0,32bits,100,0,No,Amps,
PA Voltage,0xc1,32bits,100,0,No,Volts,
Driver Current,0xc2,32bits,100,0,No,Amps,
Heatsink Temp,0xc3,32bits,100,0,No,Degrees C,
PA2 Voltage,0xc4,32bits,100,0,No,Volts,
Driver2 Current,0xc5,32bits,100,0,No,Amps,
IPA Current,0xc6,32bits,100,0,No,Amps,
AC Line Voltage,0xc7,32bits,100,0,No,Volts,
Sensor1 Temp,0xc8,32bits,100,0,No,Degrees C,
Sensor2 Temp,0xc9,32bits,100,0,No,Degrees C,
Sensor3 Temp,0xca,32bits,100,0,No,Degrees C,
Soft Start Volts,0xcb,32bits,100,0,No,Volts,
Ambient Air Temp,0xcc,32bits,100,0,No,Degrees C,
Driver Voltage,0xcd,32bits,100,0,No,Volts,
Preamp Current,0xce,32bits,100,0,No,Amps,
Humidity,0xcf,32bits,100,0,No,Percent,
Water In Temp,0xd0,32bits,100,0,No,Degrees C,
Water Out Temp,0xd1,32bits,100,0,No,Degrees C,
Water Flow Sense,0xd2,32bits,100,0,No,Boolean,
Total PA Current,0xd3,32bits,100,0,No,Amps,
PA Flange Temp,0xd4,32bits,100,0,No,Degrees C,
Control Fan RPM,0xd5,32bits,100,0,No,RPMs,
PSU Fan Current,0xd6,32bits,100,0,No,Amps,
RF Fan Current,0xd7,32bits,100,0,No,Amps,
HK Bias Voltage,0xd8,32bits,100,0,No,Volts,
HK VBulk,0xd9,32bits,100,0,No,Volts,
PWM Duty,0xda,32bits,100,0,No,,
Driver Is On,0xdb,32bits,100,0,No,Boolean,
Soft Start Temp,0xdc,32bits,100,0,No,Degrees C,
PA FET Temp1,0xdd,32bits,100,0,No,Degrees C,
PA FET Temp2,0xde,32bits,100,0,No,Degrees C,
PA FET Temp3,0xdf,32bits,100,0,No,Degrees C,
Software Revision,0x50,16bits,0,256,No,Software Revision (16 bits of minor and the lower 16 bits of major. Only useful on released packages),
Software Revision,0x73,24bits,0,0,No,Software Revision (The lower 16 bits of major and 16 bits of minor and 16 bits of edit. Only useful on released packages),
Rail Setpoint(HPV_PA_PAVOUT),0x62,32bits,0,0,No,Rail Setpoint(HPV_PA_PAVOUT),
Reverse1,0xe0,16bits,1,0,No,In Watts.,
Reverse1,0x710,32bits,256,0,No,In Watts. (32 bits),
Forward1,0xe4,16bits,1,0,No,In Watts.,
Forward1,0x720,32bits,256,0,No,In Watts. (32 bits),
Delivered1,0xe8,16bits,1,0,No,In Watts.,
Delivered1,0x730,32bits,256,0,No,In Watts. (32 bits),
State 1 Reverse,0x4e0,16bits,4,0,No,In Watts.,
State 1 Forward,0x4e4,16bits,4,0,No,In Watts.,
State 1 Delivered,0x4e8,16bits,4,0,No,In Watts.,
State 1 Reflection Coefficient,0x184,16bits,100,0,No,,
Reflection Ratio1,0xec,16bits,1000,0,No,,
State 1 Unsynced Reverse,0x680,16bits,1,0,No,In Watts.,
State 1 Unsynced Reverse,0x810,32bits,256,0,No,In Watts. (32 bits),
State 1 Unsynced Forward,0x690,16bits,1,0,No,In Watts.,
State 1 Unsynced Forward,0x820,32bits,256,0,No,In Watts. (32 bits),
State 1 Unsynced Delivered,0x6a0,16bits,1,0,No,In Watts.,
State 1 Unsynced Delivered,0x830,32bits,256,0,No,In Watts. (32 bits),
State 1 Unsynced Reflection Ratio,0x6b0,16bits,1000,0,No,,
State 1 Unsynced Reflection Coefficient,0x8e0,16bits,1000,0,No,,
State 1 Unsynced VSWR,0x8f0,16bits,100,0,No,,
State 1 Synced Reverse,0x6c0,16bits,1,0,No,In Watts.,
State 1 Synced Reverse,0x840,32bits,256,0,No,In Watts. (32 bits),
State 1 Synced Forward,0x6d0,16bits,1,0,No,In Watts.,
State 1 Synced Forward,0x850,32bits,256,0,No,In Watts. (32 bits),
State 1 Synced Delivered,0x6e0,16bits,1,0,No,In Watts.,
State 1 Synced Delivered,0x860,32bits,256,0,No,In Watts. (32 bits),
State 1 Synced Reflection Ratio,0x6f0,16bits,1000,0,No,,
Reverse2,0xe1,16bits,1,0,No,In Watts.,
Reverse2,0x711,32bits,256,0,No,In Watts. (32 bits),
Forward2,0xe5,16bits,1,0,No,In Watts.,
Forward2,0x721,32bits,256,0,No,In Watts. (32 bits),
Delivered2,0xe9,16bits,1,0,No,In Watts.,
Delivered2,0x731,32bits,256,0,No,In Watts. (32 bits),
State 2 Reverse,0x4e1,16bits,4,0,No,In Watts.,
State 2 Forward,0x4e5,16bits,4,0,No,In Watts.,
State 2 Delivered,0x4e9,16bits,4,0,No,In Watts.,
State 2 Reflection Coefficient,0x185,16bits,100,0,No,,
Reflection Ratio2,0xed,16bits,1000,0,No,,
State 2 Unsynced Reverse,0x681,16bits,1,0,No,In Watts.,
State 2 Unsynced Reverse,0x811,32bits,256,0,No,In Watts. (32 bits),
State 2 Unsynced Forward,0x691,16bits,1,0,No,In Watts.,
State 2 Unsynced Forward,0x821,32bits,256,0,No,In Watts. (32 bits),
State 2 Unsynced Delivered,0x6a1,16bits,1,0,No,In Watts.,
State 2 Unsynced Delivered,0x831,32bits,256,0,No,In Watts. (32 bits),
State 2 Unsynced Reflection Ratio,0x6b1,16bits,1000,0,No,,
State 2 Unsynced Reflection Coefficient,0x8e1,16bits,1000,0,No,,
State 2 Unsynced VSWR,0x8f1,16bits,100,0,No,,
State 2 Synced Reverse,0x6c1,16bits,1,0,No,In Watts.,
State 2 Synced Reverse,0x841,32bits,256,0,No,In Watts. (32 bits),
State 2 Synced Forward,0x6d1,16bits,1,0,No,In Watts.,
State 2 Synced Forward,0x851,32bits,256,0,No,In Watts. (32 bits),
State 2 Synced Delivered,0x6e1,16bits,1,0,No,In Watts.,
State 2 Synced Delivered,0x861,32bits,256,0,No,In Watts. (32 bits),
State 2 Synced Reflection Ratio,0x6f1,16bits,1000,0,No,,
Reverse3,0xe2,16bits,1,0,No,In Watts.,
Reverse3,0x712,32bits,256,0,No,In Watts. (32 bits),
Forward3,0xe6,16bits,1,0,No,In Watts.,
Forward3,0x722,32bits,256,0,No,In Watts. (32 bits),
Delivered3,0xea,16bits,1,0,No,In Watts.,
Delivered3,0x732,32bits,256,0,No,In Watts. (32 bits),
State 3 Reverse,0x4e2,16bits,4,0,No,In Watts.,
State 3 Forward,0x4e6,16bits,4,0,No,In Watts.,
State 3 Delivered,0x4ea,16bits,4,0,No,In Watts.,
State 3 Reflection Coefficient,0x186,16bits,100,0,No,,
Reflection Ratio3,0xee,16bits,1000,0,No,,
State 3 Unsynced Reverse,0x682,16bits,1,0,No,In Watts.,
State 3 Unsynced Reverse,0x812,32bits,256,0,No,In Watts. (32 bits),
State 3 Unsynced Forward,0x692,16bits,1,0,No,In Watts.,
State 3 Unsynced Forward,0x822,32bits,256,0,No,In Watts. (32 bits),
State 3 Unsynced Delivered,0x6a2,16bits,1,0,No,In Watts.,
State 3 Unsynced Delivered,0x832,32bits,256,0,No,In Watts. (32 bits),
State 3 Unsynced Reflection Ratio,0x6b2,16bits,1000,0,No,,
State 3 Unsynced Reflection Coefficient,0x8e2,16bits,1000,0,No,,
State 3 Unsynced VSWR,0x8f2,16bits,100,0,No,,
State 3 Synced Reverse,0x6c2,16bits,1,0,No,In Watts.,
State 3 Synced Reverse,0x842,32bits,256,0,No,In Watts. (32 bits),
State 3 Synced Forward,0x6d2,16bits,1,0,No,In Watts.,
State 3 Synced Forward,0x852,32bits,256,0,No,In Watts. (32 bits),
State 3 Synced Delivered,0x6e2,16bits,1,0,No,In Watts.,
State 3 Synced Delivered,0x862,32bits,256,0,No,In Watts. (32 bits),
State 3 Synced Reflection Ratio,0x6f2,16bits,1000,0,No,,
Reverse4,0xe3,16bits,1,0,No,In Watts.,
Reverse4,0x713,32bits,256,0,No,In Watts. (32 bits),
Forward4,0xe7,16bits,1,0,No,In Watts.,
Forward4,0x723,32bits,256,0,No,In Watts. (32 bits),
Delivered4,0xeb,16bits,1,0,No,In Watts.,
Delivered4,0x733,32bits,256,0,No,In Watts. (32 bits),
State 4 Reverse,0x4e3,16bits,4,0,No,In Watts.,
State 4 Forward,0x4e7,16bits,4,0,No,In Watts.,
State 4 Delivered,0x4eb,16bits,4,0,No,In Watts.,
State 4 Reflection Coefficient,0x187,16bits,100,0,No,,
Reflection Ratio4,0xef,16bits,1000,0,No,,
State 4 Unsynced Reverse,0x683,16bits,1,0,No,In Watts.,
